:ID,name,:LABEL,pmid,pmcid,fetching_date,cui,normalized_name,normalization_source,url
b9e304b5-9032-4b16-88f2-9e9f1333b21d,integrin beta1,GENE_OR_GENE_PRODUCT,40731404,40731404,2025-07-31 21:05:46.607,C0754865,integrin alpha9 beta1,MSH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0754865
dbe7182a-2e99-4d93-9a0f-ce8295176ffd,cell line,CELL,40731404,40731404,2025-07-31 21:05:46.607,C0007600,Cultured Cell Line,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0007600
303ecbc4-188b-4ece-9e5c-b13c3c0636ed,tumor,CANCER,40731404,40731404,2025-07-31 21:05:46.607,C0027651,Neoplasms,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0027651
714dc7f9-1cdc-4406-8233-650ff1ab781e,cell,CELL,40731404,40731404,2025-07-31 21:05:46.607,C0007634,Cells,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0007634
155af6f1-3450-4030-bd55-195ee689fb9a,intracellular signaling peptides,IMMATERIAL_ANATOMICAL_ENTITY,40731404,40731404,2025-07-31 21:05:46.607,C1449858,Intracellular Signaling Peptides,MSH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1449858
9a292ef4-c3c7-4dcc-bc26-c711b6620de6,mice,ORGANISM,40731404,40731404,2025-07-31 21:05:46.607,C0025914,House mice,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0025914
dd86766d-bed8-42b8-98f1-33f41ac549ca,pygo1,GENE_OR_GENE_PRODUCT,40731404,40731404,2025-07-31 21:05:46.607,C1538758,PYGO1 gene,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1538758
c39a31fe-6dd2-475f-8273-83b706ee40f3,gastric cancer,CANCER,40731404,40731404,2025-07-31 21:05:46.607,C0024623,Malignant neoplasm of stomach,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0024623
88d8daf7-1faa-4335-a21a-abd1fd31ce8c,wnt,GENE_OR_GENE_PRODUCT,40731404,40731404,2025-07-31 21:05:46.607,C3661165,Wnt-C59,MSH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C3661165
4c7ad626-54ff-402d-9723-e36f7453c0e5,chromatin,CELLULAR_COMPONENT,40731404,40731404,2025-07-31 21:05:46.607,C0008546,Chromatin,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0008546
20997a5d-354f-4a9b-a3c2-a433c8a9a5e1,cancer,CANCER,40731404,40731404,2025-07-31 21:05:46.607,C0006826,Malignant Neoplasms,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0006826
57ad4a50-1a39-4b5a-9e2c-81edf51166f5,pentagalloylglucose,SIMPLE_CHEMICAL,40731404,40731404,2025-07-31 21:05:46.607,C1097130,pentagalloylglucose,MSH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1097130
e0e2bf50-c10f-455e-8a40-6fc23460f764,people,ORGANISM,40731404,40731404,2025-07-31 21:05:46.607,C0027361,Persons,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0027361
5b73e4c7-c309-47b8-a204-e38109470ad6,disease,CANCER,40731404,40731404,2025-07-31 21:05:46.607,C0012634,Disease,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0012634
f48d1a2a-6aaf-44ff-a856-b72a85398dc5,nps,CANCER,40731404,40731404,2025-07-31 21:05:46.607,C1836075,NPS gene,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1836075
49fcb337-4db4-4c42-aa38-11d62b8b132d,boyes,CANCER,40731404,40731404,2025-07-31 21:05:46.607,C0582133,Rent boy,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0582133
